bear_id,year_month,num_points,num_days,most_common_season,sex,age
Bear15,2014-08,266,31,Forest fruits,M,A
Bear15,2014-09,287,30,Hyperphagia,M,A
Bear15,2014-10,280,31,Hyperphagia,M,A
Bear15,2014-11,267,30,Winter sleep,M,A
Bear15,2014-12,20,6,Winter sleep,M,A
Bear15,2015-02,1,1,Winter sleep,M,A
Bear15,2015-03,1,1,Winter sleep,M,A
Bear15,2015-04,66,16,Den exit and reproduction,M,A
Bear15,2015-05,141,31,Den exit and reproduction,M,A
Bear15,2015-06,120,30,Forest fruits,M,A
Bear15,2015-07,121,30,Forest fruits,M,A
Bear16,2014-08,281,28,Forest fruits,F,A
Bear16,2014-09,259,30,Hyperphagia,F,A
Bear16,2014-10,283,31,Hyperphagia,F,A
Bear16,2014-11,28,5,Hyperphagia,F,A
Bear16,2015-04,98,16,Den exit and reproduction,F,A
Bear16,2015-05,290,31,Den exit and reproduction,F,A
Bear16,2015-06,238,30,Den exit and reproduction,F,A
Bear16,2015-07,248,30,Forest fruits,F,A
Bear17,2014-08,18,2,Hyperphagia,M,A
Bear17,2014-09,271,30,Hyperphagia,M,A
Bear17,2014-10,266,31,Hyperphagia,M,A
Bear17,2014-11,176,27,Winter sleep,M,A
Bear17,2014-12,1,1,Winter sleep,M,A
Bear17,2015-03,46,10,Winter sleep,M,A
Bear17,2015-04,131,30,Den exit and reproduction,M,A
Bear17,2015-05,115,27,Den exit and reproduction,M,A
Bear18,2012-07,262,27,Forest fruits,M,J
Bear18,2012-08,305,31,Forest fruits,M,J
Bear18,2012-09,264,30,Hyperphagia,M,J
Bear18,2012-10,160,31,Hyperphagia,M,J
Bear18,2012-11,251,30,Winter sleep,M,J
Bear18,2012-12,247,31,Winter sleep,M,J
Bear18,2013-01,186,28,Winter sleep,M,J
Bear18,2013-02,120,23,Winter sleep,M,J
Bear18,2013-03,260,30,Winter sleep,M,J
Bear18,2013-04,245,30,Den exit and reproduction,M,J
Bear18,2013-05,144,17,Den exit and reproduction,M,J
